圖片編號,圖片路徑,商品編號
1,../../goodImages/20240524104703770jpg,1
2,../../goodImages/20240524104703780jpg,1
3,../../goodImages/20240524105135209.jpg,2
4,../../goodImages/20240524105135213.jpg,2
5,../../goodImages/20240524105648726jfif,3
6,../../goodImages/20240524105842536.jfif,4
7,../../goodImages/20240524105842539.jfif,4
8,../../goodImages/20240524105842541.jfif,4
9,../../goodImages/20240524110045658.jpg,5
10,../../goodImages/20240524110252855.jpg,6
11,../../goodImages/20240524110252858.jpg,6
12,../../goodImages/20240524110445186.jpg,7
13,../../goodImages/20240524110445189.jpg,7
14,../../goodImages/202405241125511737-7qukw-lha6b4a24p4922.jfif,8
15,../../goodImages/202405241125511757-7qukx-lha6b4a263opa1.jfif,8
16,../../goodImages/20240524114059067.jfif,9
17,../../goodImages/20240524114059071.jfif,9
18,../../goodImages/20240524114059074.jfif,9
19,../../goodImages/20240524114059077.jfif,9
20,../../goodImages/20240524124630613.jpg,10
21,../../goodImages/20240524144007032.jpg,11
22,../../goodImages/20240524144007035.jpg,11
23,../../goodImages/20240524144423298.jpg,13
25,../../goodImages/20240524175258236.png,15
26,../../goodImages/20240524175258240.webp,15
27,../../goodImages/20240527170429543.webp,16
28,../../goodImages/20240527170728144.webp,17
29,../../goodImages/20240527170728146.webp,17
30,../../goodImages/20240527171034834.webp,18
31,../../goodImages/20240527171034836.webp,18
32,../../goodImages/20240527171034840.webp,18
33,../../goodImages/20240527171405535.jfif,19
34,../../goodImages/20240527171533554.jpg,17
35,../../goodImages/20240527171533558.jpg,17
36,../../goodImages/20240527172220578.jfif,20
37,../../goodImages/20240528141505414.jpg,21
